epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.6926307344651127,0.6926353139778616,0.5553021664766249,0.5545454545454546
2,0.6920576850394672,0.692071384209372,0.5553021664766249,0.5545454545454546
3,0.6914589412940163,0.6914820661818528,0.5553021664766249,0.5545454545454546
4,0.6907992592061418,0.6908328082210059,0.5553021664766249,0.5545454545454546
5,0.6900386728413752,0.6900844212090139,0.5553021664766249,0.5545454545454546
6,0.6891296757429336,0.6891903569864369,0.5553021664766249,0.5545454545454546
7,0.6880147902871483,0.6880943862023995,0.5553021664766249,0.5545454545454546
8,0.6866248646399898,0.6867290164941569,0.5735461801596351,0.5909090909090909
9,0.6848786800550495,0.6850152193095463,0.5769669327251995,0.5909090909090909
10,0.6826846059868764,0.6828641601678667,0.6100342075256556,0.6409090909090909
11,0.6799449236932957,0.6801814717237205,0.637400228050171,0.6636363636363637
12,0.6765628667571757,0.6768740064518618,0.6624857468643102,0.7045454545454546
13,0.6724514051355657,0.6728579999510529,0.6681870011402509,0.7
14,0.6675417113015552,0.6680665843269613,0.669327251995439,0.6909090909090909
15,0.6617887690208142,0.6624542743474017,0.6670467502850627,0.6818181818181818
16,0.655172218235055,0.6559968231547113,0.6716077537058153,0.6818181818181818
17,0.6476921179996604,0.6486864549686803,0.6807297605473204,0.6954545454545454
18,0.6393610821375754,0.6405241317221344,0.6966932725199544,0.6954545454545454
19,0.6301953699589735,0.6315114389841842,0.7058152793614595,0.7090909090909091
20,0.6202076408566589,0.6216446332107027,0.7103762827822121,0.7136363636363636
21,0.6094034108507046,0.6109126474103148,0.7160775370581528,0.7181818181818181
22,0.597782231570893,0.5992998517659452,0.7240592930444698,0.7318181818181818
23,0.5853435571272184,0.5867933691065728,0.7366020524515393,0.7363636363636363
24,0.57209621271634,0.5733937457659876,0.7616875712656784,0.759090909090909
25,0.5580693229489189,0.5591267491977243,0.7719498289623717,0.7818181818181819
26,0.5433217563611865,0.5440532640133123,0.7856328392246295,0.7909090909090909
27,0.5279471227083421,0.5282742294750807,0.806157354618016,0.8045454545454546
28,0.5120724606935754,0.5119286835298116,0.830102622576967,0.8363636363636363
29,0.49585065598384664,0.49518497608051104,0.8494868871151653,0.8545454545454545
30,0.4794484888157297,0.4782272219290587,0.8597491448118586,0.8636363636363636
31,0.4630332662906924,0.46124023047235585,0.8757126567844926,0.8818181818181818
32,0.4467609514779575,0.4443961196069739,0.8859749144811858,0.8954545454545455
33,0.43076773452897865,0.4278447844554681,0.8905359179019384,0.9045454545454545
34,0.41516562990441186,0.4117089132354429,0.8962371721778791,0.9136363636363637
35,0.4000415530614098,0.3960829798964095,0.9019384264538198,0.9181818181818182
36,0.3854587867553749,0.38103499566431787,0.9042189281641961,0.9272727272727272
37,0.37145974696569556,0.36660976016629027,0.9179019384264538,0.9272727272727272
38,0.35806923742808483,0.35283265300944927,0.9236031927023945,0.9272727272727272
39,0.3452976992455434,0.33971337750432357,0.9293044469783353,0.9318181818181818
40,0.3331442023715097,0.32724936149205436,0.9315849486887116,0.9409090909090909
41,0.3215990728936794,0.3154287032105935,0.9327251995438997,0.9454545454545454
42,0.31064612920585727,0.30423264668936423,0.9384264538198404,0.95
43,0.3002645397607312,0.29363761559307666,0.9384264538198404,0.95
44,0.29043033413869757,0.28361685216191856,0.9407069555302167,0.95
45,0.2811176076710725,0.2741417132116859,0.9418472063854048,0.95
46,0.27229946255206816,0.265182674825388,0.9441277080957811,0.9545454545454546
47,0.26394872756403376,0.25671009429630814,0.9464082098061574,0.9545454545454546
48,0.2560384955637812,0.24869477336973012,0.9464082098061574,0.9545454545454546
49,0.2485425136750178,0.24110836159302287,0.9498289623717218,0.9590909090909091
50,0.24143545640568576,0.23392363311900524,0.9498289623717218,0.9636363636363636
51,0.23469310716094102,0.22711466498422636,0.9498289623717218,0.9636363636363636
52,0.2282924691756386,0.2206569399558215,0.9521094640820981,0.9636363636363636
53,0.2222118229217787,0.21452739265587664,0.9543899657924744,0.9636363636363636
54,0.21643074362674522,0.20870441389139896,0.9555302166476625,0.9636363636363636
55,0.2109300896674777,0.20316782493856228,0.9555302166476625,0.9636363636363636
56,0.20569197024340105,0.1978988309096132,0.9555302166476625,0.9681818181818181
57,0.2006996988169056,0.1928799602065613,0.9555302166476625,0.9681818181818181
58,0.19593773727840935,0.18809499536698732,0.9566704675028507,0.9681818181818181
59,0.19139163457960245,0.18352889926447333,0.9566704675028507,0.9681818181818181
60,0.18704796262555554,0.17916773957556803,0.9600912200684151,0.9681818181818181
61,0.18289425147387275,0.174998613611004,0.9600912200684151,0.9727272727272728
62,0.17891892531482975,0.17100957498369596,0.9612314709236032,0.9772727272727273
63,0.17511124026564132,0.16718956311049066,0.9612314709236032,0.9772727272727273
64,0.17146122467634026,0.1635283361865782,0.9635119726339795,0.9772727272727273
65,0.16795962239141382,0.16001640800496855,0.9635119726339795,0.9772727272727273
66,0.16459783922212273,0.15664498879778493,0.9646522234891676,0.9772727272727273
67,0.16136789274487648,0.15340593013491527,0.9646522234891676,0.9772727272727273
68,0.15826236543974376,0.15029167381589537,0.9646522234891676,0.9772727272727273
69,0.15527436111118417,0.14729520462266857,0.9669327251995439,0.9772727272727273
70,0.15239746448338423,0.14441000675623838,0.9692132269099202,0.9772727272727273
71,0.14962570382971038,0.14163002375312359,0.9703534777651083,0.9772727272727273
72,0.14695351647551352,0.13894962166328026,0.9703534777651083,0.9772727272727273
73,0.14437571700256915,0.13636355526619684,0.9703534777651083,0.9772727272727273
74,0.14188746797929136,0.13386693710348616,0.9726339794754846,0.9772727272727273
75,0.13948425304160247,0.13145520911244996,0.9726339794754846,0.9772727272727273
76,0.1371618521535024,0.12912411665423845,0.9726339794754846,0.9772727272727273
77,0.13491631888286523,0.12686968474124402,0.9726339794754846,0.9772727272727273
78,0.13274395953596402,0.12468819628041275,0.9726339794754846,0.9818181818181818
79,0.1306413140030756,0.12257617216163977,0.9726339794754846,0.9818181818181818
80,0.12860513817679647,0.12053035303289916,0.9726339794754846,0.9818181818181818
