epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.2376274779849583,0.5492666666666667,1.2246474609375,0.5776
2.0,0.7694557270473904,0.7298666666666667,0.7771772560119629,0.7242
3.0,0.5872202086872524,0.7944222222222223,0.6676544902801513,0.774
4.0,0.48222340588039825,0.8327333333333333,0.6269340565443039,0.7754
5.0,0.4009366353564792,0.8615333333333334,0.6434351711273193,0.783
6.0,0.32909212427139284,0.8850888888888889,0.8134028737068176,0.7422
7.0,0.2743308491786321,0.9043777777777777,0.6125111455917358,0.8006
8.0,0.22813848727544148,0.9187333333333333,0.5810005240917205,0.8184
9.0,0.17783310227394103,0.9383111111111111,0.6257433253765107,0.8156
10.0,0.16176030021243626,0.9438888888888889,0.7569470138549804,0.7894
11.0,0.13629331376287673,0.9527111111111111,0.6519589639663697,0.8076
12.0,0.11423124900394016,0.9609111111111112,0.7036061930179596,0.8122
