epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.700667619196574,0.3788666666666667,1.4994971069335938,0.4518
2.0,1.4007623215781317,0.4945777777777778,1.3533314971923829,0.5082
3.0,1.2713738445599874,0.5441111111111111,1.2543609161376954,0.544
4.0,1.1938583992640177,0.574,1.2138486877441406,0.57
5.0,1.135586077287462,0.5956444444444444,1.180761248779297,0.5812
6.0,1.0803628852208456,0.6180666666666667,1.1284659042358398,0.5998
7.0,1.0393290743086072,0.6318888888888889,1.1054236251831056,0.616
8.0,0.9927197298155891,0.6452888888888889,1.1294174026489259,0.6062
9.0,0.9546985227584839,0.6632888888888889,1.0787069133758544,0.6254
10.0,0.9184351284662883,0.6764444444444444,1.062334609603882,0.6374
11.0,0.8868505752775404,0.6865111111111111,1.057330841064453,0.6386
12.0,0.8586504609955682,0.6956222222222223,1.085747236442566,0.6256
13.0,0.8330676247384813,0.7051777777777778,1.06659315366745,0.639
14.0,0.8069438699086507,0.7136222222222223,1.0802250261306763,0.637
15.0,0.7862820653703477,0.7224444444444444,1.0831839938163756,0.6386
