epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.610871475177341,0.40546666666666664,1.3920935455322265,0.4944
2.0,1.3212659807840983,0.5221333333333333,1.3003227569580078,0.5348
3.0,1.2119289202796089,0.5685111111111111,1.2214760803222657,0.5652
4.0,1.1411693769454956,0.5967555555555556,1.1943397399902345,0.5812
5.0,1.076068065685696,0.6212888888888889,1.0673525833129882,0.6238
6.0,1.0283257702297635,0.6388888888888888,1.0534768081665038,0.6294
7.0,0.9851658930354649,0.6572222222222223,1.0567842666625977,0.6316
8.0,0.951643636947208,0.6675777777777778,1.0218816864013671,0.6368
9.0,0.9193778037707011,0.6808666666666666,1.029199397277832,0.6344
10.0,0.8891117725160387,0.6901111111111111,1.0272731086730957,0.6374
11.0,0.8672914037916395,0.697,1.0010808197021484,0.644
12.0,0.8388754089779324,0.706,0.9867839202880859,0.656
13.0,0.820040360683865,0.7124,0.9739624923706055,0.6594
14.0,0.7955733694500393,0.7182888888888889,0.9954443416595459,0.6584
15.0,0.7762951785405476,0.7268666666666667,0.9752203582763672,0.6656
16.0,0.7595779880523682,0.7317111111111111,0.9878412902832031,0.6598
17.0,0.7434809120178223,0.7364222222222222,0.9880194034576416,0.6714
